sentence_id,text,aspect_term,term_polarity,from,to,categories,category_polarities,review_id
2339,I charge it at night and skip taking the cord with me because of the good battery life.,cord,neutral,41,45,[None],[None],
2339,I charge it at night and skip taking the cord with me because of the good battery life.,battery life,positive,74,86,[None],[None],
1316,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",service center,negative,27,41,[None],[None],
1316,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.","""sales"" team",negative,109,121,[None],[None],
1316,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",tech guy,neutral,4,12,[None],[None],
2005,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",quality,positive,14,21,[None],[None],
2005,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",GUI,positive,36,39,[None],[None],
2005,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",applications,positive,118,130,[None],[None],
2005,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",use,positive,143,146,[None],[None],
2789,Easy to start up and does not overheat as much as other laptops.,start up,positive,8,16,[None],[None],
76,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",features,positive,46,54,[None],[None],
76,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",iChat,positive,77,82,[None],[None],
76,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",Photobooth,positive,84,94,[None],[None],
76,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",garage band,positive,96,107,[None],[None],
80,Great laptop that offers many great features!,features,positive,36,44,[None],[None],
917," One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",GUI,negative,89,92,[None],[None],
917," One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",screen,negative,94,100,[None],[None],
917," One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",power light,neutral,111,122,[None],[None],
917," One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",hard drive light,negative,131,147,[None],[None],
1630,I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.,battery,neutral,87,94,[None],[None],
38,"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",rubber enclosure,positive,50,66,[None],[None],
38,"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",edge,negative,108,112,[None],[None],
337,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",multi-touch gestures,positive,13,33,[None],[None],
337,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",tracking area,positive,44,57,[None],[None],
337,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",external mouse,neutral,73,87,[None],[None],
337,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",gaming,neutral,115,121,[None],[None],
2568,I love the way the entire suite of software works together.,suite of software,positive,26,43,[None],[None],
295,The speed is incredible and I am more than satisfied.,speed,positive,4,9,[None],[None],
2759,This laptop meets every expectation and Windows 7 is great!,Windows 7,positive,40,49,[None],[None],
2980,I can barely use any usb devices because they will not stay connected properly.,usb devices,negative,21,32,[None],[None],
743,When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,software,neutral,50,58,[None],[None],
743,When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,system,negative,111,117,[None],[None],
2587,"One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC.",Microsoft office for the mac,negative,51,79,[None],[None],
2202,Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,syncing,positive,67,74,[None],[None],
2227,"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!","30"" HD Monitor",positive,32,46,[None],[None],
2227,"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!",screen,neutral,80,86,[None],[None],
92,The machine is slow to boot up and occasionally crashes completely.,boot up,negative,23,30,[None],[None],
1204,"After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.",service,negative,46,53,[None],[None],
1574,I love the operating system and the preloaded software.,operating system,positive,11,27,[None],[None],
1574,I love the operating system and the preloaded software.,preloaded software,positive,36,54,[None],[None],
3073,The best thing about this laptop is the price along with some of the newer features.,price,positive,40,45,[None],[None],
3073,The best thing about this laptop is the price along with some of the newer features.,features,positive,75,83,[None],[None],
1254,"After numerous attempts of trying (including setting the clock in BIOS setup directly), I gave up(I am a techie).",clock in BIOS setup,negative,57,76,[None],[None],
810,YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.,WARRANTY SERVICE,negative,44,60,[None],[None],
130,but now i have realized its a problem with this brand.,brand,negative,48,53,[None],[None],
839,I sent it back to Toshiba twice they covered it under the  warranty.,warranty,positive,59,67,[None],[None],
