review_id,sentence_id,sentence_text,target,category,polarity,from,to
456,456:0,أنصح بالنوم وليس تناول الطعام  موقع مثالي للإقامة قبل رحلة طيران مبكرة.,موقع,LOCATION#GENERAL,positive,31,35
456,456:1,كانت الغرفة ممتازة وكذلك الموظفون وبوفيه الإفطار. ومع ذلك فقد كانت وجبة العشاء في المطعم باهظة الثمن وغير مرضية.,الغرفة,ROOMS#GENERAL,positive,5,11
456,456:1,كانت الغرفة ممتازة وكذلك الموظفون وبوفيه الإفطار. ومع ذلك فقد كانت وجبة العشاء في المطعم باهظة الثمن وغير مرضية.,الموظفون,SERVICE#GENERAL,positive,25,33
456,456:1,كانت الغرفة ممتازة وكذلك الموظفون وبوفيه الإفطار. ومع ذلك فقد كانت وجبة العشاء في المطعم باهظة الثمن وغير مرضية.,بوفيه الإفطار,FOOD_DRINKS#QUALITY,positive,35,48
456,456:1,كانت الغرفة ممتازة وكذلك الموظفون وبوفيه الإفطار. ومع ذلك فقد كانت وجبة العشاء في المطعم باهظة الثمن وغير مرضية.,وجبة العشاء,FOOD_DRINKS#PRICES,negative,67,78
456,456:2,فندق يتميز بمرافق نوعيّة وخلّاقة وساخنة. قم بشراء وجبة داخل الغرفة من M _ S عند الوصول في المطار بدلا من ذلك,فندق,HOTEL#QUALITY,positive,0,4
1322,1322:0,لمسة بحرية  جميل وظريفة، فندق تقليدي في المدينة التاريخية القديمة.,فندق,HOTEL#GENERAL,positive,25,29
1322,1322:1,سأوصي بالتأكيد بموقع المدينة القديمة إلا إنه عليك الحذر من الأسعار السياحية الأكثر ارتفاعاً.,المدينة القديمة,LOCATION#GENERAL,positive,21,36
1322,1322:1,سأوصي بالتأكيد بموقع المدينة القديمة إلا إنه عليك الحذر من الأسعار السياحية الأكثر ارتفاعاً.,الأسعار السياحية,HOTEL#PRICES,positive,59,75
1322,1322:2,فريق العمل الودود والمتعاون على الإطلاق والبار المنعش على الإطلاق خلال فصل الصيف.,فريق العمل,SERVICE#GENERAL,positive,0,10
1322,1322:3,فندق جميل، ولكن فقط كن جاهزاً للمزيد من الجو البحري!!,فندق,HOTEL#GENERAL,positive,0,4
1322,1322:4,كان الإفطار مبهجاً - لذيذ للغاية مع تشكيلة رائعة. رائع - 5 نجوم!,الإفطار,FOOD_DRINKS#QUALITY,positive,4,11
1606,1606:0,من افضل فنادق المدينه المنوره انصح وبشده من يريد ان يشعر انه في بيته الثاني ان يذهب اليه اكل نظيف تعامل راقي,اكل,FOOD_DRINKS#QUALITY,positive,89,92
1606,1606:0,من افضل فنادق المدينه المنوره انصح وبشده من يريد ان يشعر انه في بيته الثاني ان يذهب اليه اكل نظيف تعامل راقي,تعامل,SERVICE#GENERAL,positive,98,103
1606,1606:1,خدمات مميزه موقع ممتاز وقريب خصوصا لمن معهم نساء وذلك لقربه من بوابة مصلى النساء نظافة المكان,خدمات,SERVICE#GENERAL,positive,0,5
1606,1606:1,خدمات مميزه موقع ممتاز وقريب خصوصا لمن معهم نساء وذلك لقربه من بوابة مصلى النساء نظافة المكان,موقع,LOCATION#GENERAL,positive,12,16
1606,1606:1,خدمات مميزه موقع ممتاز وقريب خصوصا لمن معهم نساء وذلك لقربه من بوابة مصلى النساء نظافة المكان,المكان,LOCATION#GENERAL,positive,87,93
1606,1606:2,وجود خدمات توصيل من والى المطار وجود سيارات تنقلك الى المزارات ( مسجد قباء - مقبرة الشهداء - مقبرة البقيع ),خدمات,SERVICE#GENERAL,positive,5,10
759,759:0,من افضل الفنادق التي تجعلك تشتاق الي العرده اليه والاقامه فيه حيث الرقي والرفاهيه والامتياز في تقديم الخدمه,الفنادق,HOTEL#GENERAL,positive,8,15
759,759:0,من افضل الفنادق التي تجعلك تشتاق الي العرده اليه والاقامه فيه حيث الرقي والرفاهيه والامتياز في تقديم الخدمه,الخدمه,SERVICE#GENERAL,positive,101,107
759,759:1,وايضا لديكم افضل وامهر الاشخاص مع النزلاء وانصح الجميع بتجربه الصاله التنفيذيه ولديهم افضل الوجبات من حيث الجوده و الطعم و الموقع ممتاز مع الحرم,الصاله التنفيذيه,FACILITIES#GENERAL,positive,62,78
759,759:1,وايضا لديكم افضل وامهر الاشخاص مع النزلاء وانصح الجميع بتجربه الصاله التنفيذيه ولديهم افضل الوجبات من حيث الجوده و الطعم و الموقع ممتاز مع الحرم,الوجبات,FOOD_DRINKS#QUALITY,positive,91,98
759,759:1,وايضا لديكم افضل وامهر الاشخاص مع النزلاء وانصح الجميع بتجربه الصاله التنفيذيه ولديهم افضل الوجبات من حيث الجوده و الطعم و الموقع ممتاز مع الحرم,الحرم,LOCATION#GENERAL,positive,139,144
196,196:0,فندق رائع الفندق اكثر من رائع وخصوصا مستوى الخدمه وسرعه تلبيه رغباتى من قبل مكاتب الاستقبال والرقى فى التعامل من بدايه الاستقبال فى المطار وحتى المغادره,فندق,HOTEL#GENERAL,positive,0,4
196,196:0,فندق رائع الفندق اكثر من رائع وخصوصا مستوى الخدمه وسرعه تلبيه رغباتى من قبل مكاتب الاستقبال والرقى فى التعامل من بدايه الاستقبال فى المطار وحتى المغادره,الفندق,HOTEL#GENERAL,positive,10,16
